ko, ko, , , Korean, Korean, , , 
yy. M. d, yyyy. M. d, yyyy'년' M'월' d'일' '('EE')'
a h:mm, a h:mm:ss, a h'시' mm'분' ss'초'
#,##0, #,##0.###, #,##0%, ¤ #,##0.00

HRK, 191, 크로아티아 쿠나, HRK, 2
XTS, 963, 테스트 통화 코드, XTS, -1
MTL, 470, 몰타 리라, MTL, 2
HNL, 340, 온두라스 렘피라, HNL, 2
BEF, 56, 벨기에 프랑, BEF, 0
BGL, 100, 불가리아 동전 렛, BGL, 2
XFU, 0, 프랑스 UIC-프랑, XFU, -1
AFA, 4, 아프가니 (1927-2002), AFA, 2
ILS, 376, 이스라엘 신권 세켈, ILS, 2
LUF, 442, 룩셈부르크 프랑, LUF, 0
TMM, 795, 투르크메니스탄 마나트, TMM, 2
RSD, 941, 세르비아 디나르, RSD, 2
BRL, 986, 브라질 레알, BRL, 2
ATS, 40, 호주 실링, ATS, 2
QAR, 634, 카타르 리얄, QAR, 2
AWG, 533, 아루바 길더, AWG, 2
USS, 998, 미국 달러(당일), USS, 2
VND, 704, 베트남 동, VND, 2
GRD, 300, 그리스 드라크마, GRD, 0
SGD, 702, 싱가폴 달러, SGD, 2
PAB, 590, 파나마 발보아, PAB, 2
WST, 882, 서 사모아 탈라, WST, 2
DEM, 276, 독일 마르크, DEM, 2
SLL, 694, 시에라리온 리온, SLL, 2
BGN, 975, 불가리아 신권 렛, BGN, 2
GWP, 624, 기네비쏘 페소, GWP, 2
DZD, 12, 알제리 디나르, DZD, 2
OMR, 512, 오만 리얄, OMR, 3
FKP, 238, 포클랜드제도 파운드, FKP, 2
INR, 356, 인도 루피, INR, 2
TTD, 780, 트리니다드 토바고 달러, TTD, 2
CDF, 976, 콩고 프랑 콩골라스, CDF, 2
MXV, 979, 멕시코 UDI(Unidad de Inversion), MXV, 2
BWP, 72, 보츠와나 폴라, BWP, 2
JMD, 388, 자메이카 달러, JMD, 2
NGN, 566, 니제르 나이라, NGN, 2
ERN, 232, 에리트리아 나크파, ERN, 2
RON, 946, 루마니아 레우, RON, 2
MWK, 454, 말라위 콰쳐, MWK, 2
SKK, 703, 슬로바키아 코루나, SKK, 2
CZK, 203, 체코 공화국 코루나, CZK, 2
LVL, 428, 라트비아 라트, LVL, 2
LSL, 426, 레소토 로티, LSL, 2
GIP, 292, 지브롤터 파운드, GIP, 2
UZS, 860, 우즈베키스탄 숨, UZS, 2
MOP, 446, 마카오 파타카, MOP, 2
TRY, 949, 신 터키 리라, TRY, 2
ZWR, 935, Zimbabwean Dollar (2008), ZWR, 2
CSD, 891, 고 세르비아 디나르, CSD, 2
BIF, 108, 부룬디 프랑, BIF, 0
USD, 840, 미국 달러, USD, 2
CVE, 132, 카보베르데 에스쿠도, CVE, 2
CNY, 156, 중국 위안 인민폐, CNY, 2
MZN, 943, 모잠비크 메티칼, MZN, 2
VEF, 937, 베네주엘라 볼리바르 푸에르떼, VEF, 2
LKR, 144, 스리랑카 루피, LKR, 2
AZN, 944, 아제르바이잔 마나트, AZN, 2
NZD, 554, 뉴질랜드 달러, NZD, 2
DJF, 262, 지부티 프랑, DJF, 0
BND, 96, 부루나이 달러, BND, 2
BYR, 974, 벨라루스 루블, BYR, 0
PGK, 598, 파푸아뉴기니 키나, PGK, 2
CUC, 931, 쿠바 태환 페소, CUC, 2
MUR, 480, 모리셔스 루피, MUR, 2
STD, 678, 상투메 프린시페 도브라, STD, 2
XBD, 958, 유럽 계산 단위 (XBD), XBD, -1
SEK, 752, 스웨덴 크로나, SEK, 2
AOA, 973, 앙골라 콴자, AOA, 2
BYB, 112, 벨라루스 신권 루블 (1994-1999), BYB, 0
RUB, 643, 러시아 루블, RUB, 2
PYG, 600, 파라과이 과라니, PYG, 0
XOF, 952, CFA 프랑 BCEAO, XOF, 0
GHS, 936, 가나 시디, GHS, 2
GNF, 324, 기니 프랑, GNF, 0
KES, 404, 케냐 실링, KES, 2
EEK, 233, 에스토니아 크룬, EEK, 2
MAD, 504, 모로코 디렘, MAD, 2
SRG, 740, 수리남 길더, SRG, 2
SAR, 682, 사우디아라비아 리얄, SAR, 2
MDL, 498, 몰도바 레이, MDL, 2
MKD, 807, 마케도니아 디나르, MKD, 2
ETB, 230, 이디오피아 비르, ETB, 2
EGP, 818, 이집트 파운드, EGP, 2
MGF, 450, 마다가스카르 프랑, MGF, 0
MXN, 484, 멕시코 페소, MXN, 2
ESP, 724, 스페인 페세타, ESP, 0
HUF, 348, 헝가리 포린트, HUF, 2
CLF, 990, 칠레 UF (Unidades de Fomento), CLF, 0
ARS, 32, 아르헨티나 페소, ARS, 2
BAM, 977, 보스니아-헤르체고비나 태환 마르크, BAM, 2
FJD, 242, 피지 달러, FJD, 2
AZM, 31, 아제르바이젠 마나트(1993-2006), AZM, 2
ZWL, 932, Zimbabwean Dollar (2009), ZWL, 2
TJS, 972, 타지키스탄 소모니, TJS, 2
TWD, 901, 대만 신권 달러, TWD, 2
XXX, 999, 알수없거나 유효하지않은 통화단위, XXX, -1
ZAR, 710, 남아프리카 랜드, ZAR, 2
KYD, 136, 케이맨 제도 달러, KYD, 2
SDD, 736, 수단 디나르, SDD, 2
MZM, 508, 고 모잠비크 메티칼, MZM, 2
TOP, 776, 통가 파앙가, TOP, 2
XPT, 962, 백금, XPT, -1
CAD, 124, 캐나다 달러, CAD, 2
SHP, 654, 세인트헬레나 파운드, SHP, 2
NPR, 524, 네팔 루피, NPR, 2
CLP, 152, 칠레 페소, CLP, 0
CUP, 192, 쿠바 페소, CUP, 2
UAH, 980, 우크라이나 그리브나, UAH, 2
AUD, 36, 호주 달러, AUD, 2
VUV, 548, 바누아투 바투, VUV, 0
KRW, 410, 대한민국 원, KRW, 0
MRO, 478, 모리타니 우기야, MRO, 2
XUA, 965, XUA, XUA, -1
CYP, 196, 싸이프러스 파운드, CYP, 2
AMD, 51, 아르메니아 드람, AMD, 2
SIT, 705, 슬로베니아 톨라르, SIT, 2
XFO, 0, 프랑스 Gold 프랑, XFO, -1
BOV, 984, 볼리비아노 Mvdol(기금), BOV, 2
KPW, 408, 조선 민주주의 인민 공화국 원, KPW, 2
NAD, 516, 나미비아 달러, NAD, 2
JOD, 400, 요르단 디나르, JOD, 3
IEP, 372, 아일랜드 파운드, IEP, 2
SBD, 90, 솔로몬 제도 달러, SBD, 2
THB, 764, 태국 바트, THB, 2
BSD, 44, 바하마 달러, BSD, 2
USN, 997, 미국 달러(다음날), USN, 2
MVR, 462, 몰디브 제도 루피아, MVR, 2
UYU, 858, 우루과이 페소 우루과요, UYU, 2
BOB, 68, 볼리비아노, BOB, 2
ROL, 946, 루마니아 레이, ROL, 2
XBC, 957, 유럽 계산 단위 (XBC), XBC, -1
RWF, 646, 르완다 프랑, RWF, 0
BTN, 64, 부탄 눌투눔, BTN, 2
MYR, 458, 말레이시아 링깃, MYR, 2
ISK, 352, 아이슬란드 크로나, ISK, 0
CHF, 756, 스위스 프랑, CHF, 2
IRR, 364, 이란 리얄, IRR, 2
TZS, 834, 탄자니아 실링, TZS, 2
XPD, 964, 팔라듐, XPD, -1
KHR, 116, 캄보디아 리얄, KHR, 2
VEB, 862, 베네주엘라 볼리바르, VEB, 2
DKK, 208, 덴마크 크로네, DKK, 2
XBB, 956, 유럽 통화 동맹, XBB, -1
ZMK, 894, 쟘비아 콰쳐, ZMK, 2
XPF, 953, CFP 프랑, XPF, 0
ADP, 20, 안도라 페세타, ADP, 0
SZL, 748, 스와질란드 릴랑게니, SZL, 2
FRF, 250, 프랑스 프랑, FRF, 2
CRC, 188, 코스타리카 콜론, CRC, 2
BZD, 84, 벨리즈 달러, BZD, 2
IQD, 368, 이라크 디나르, IQD, 3
KZT, 398, 카자흐스탄 텐게, KZT, 2
BMD, 60, 버뮤다 달러, BMD, 2
AED, 784, 아랍에미리트 디르함, AED, 2
ZWN, 942, ZWN, ZWN, 2
RUR, 810, 러시아 루블 (1991-1998), RUR, 2
FIM, 246, 핀란드 마르카, FIM, 2
TND, 788, 튀니지 디나르, TND, 3
LTL, 440, 리투아니아 리타, LTL, 2
BHD, 48, 바레인 디나르, BHD, 3
ITL, 380, 이탈리아 리라, ITL, 0
MGA, 969, 마다가스카르 아리아리, MGA, 2
GMD, 270, 감비아 달라시, GMD, 2
EUR, 978, 유로화, EUR, 2
ZWD, 716, 짐바브웨 달러, ZWD, 2
