zh-TW | zh | TW |  | Chinese (Taiwan) | Chinese | Taiwan |  | TWD
上午 | 下午
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
yyyy/M/d | yyyy/M/d | yyyy'年'M'月'd'日'
a h:mm | a hh:mm:ss | ahh'時'mm'分'ss'秒'
#,##0 | #,##0.### | #,##0% | ¤#,##0.00

und |  |  |  |  |  |  | 
BHD | 48 | 巴林第納爾 | BHD | 3
ZMW | 967 | ZMW | ZMW | 2
ATS | 40 | 奧地利先令 | ATS | 2
HUF | 348 | 匈牙利福林 | HUF | 2
TOP | 776 | 東加潘加 | TOP | 2
MDL | 498 | 摩杜雲列伊 | MDL | 2
BOV | 984 | 玻利維亞幕多 | BOV | 2
RUR | 810 | 俄羅斯盧布 (1991-1998) | RUR | 2
KGS | 417 | 吉爾吉斯索馬 | KGS | 2
FIM | 246 | 芬蘭馬克 | FIM | 2
BYB | 112 | 白俄羅斯新盧布 (1994-1999) | BYB | 0
XAF | 950 | 西非法郎 BEAC | XAF | 0
GBP | 826 | 英鎊 | GBP | 2
GTQ | 320 | 瓜地馬拉格查爾 | GTQ | 2
SDG | 938 | 蘇丹鎊 | SDG | 2
TZS | 834 | 坦桑尼亚先令 | TZS | 2
JMD | 388 | 牙買加元 | JMD | 2
WST | 882 | 西薩摩亞塔拉 | WST | 2
SRD | 968 | 苏里南元 | SRD | 2
XFU | 0 | 法國 UIC 法郎 | XFU | -1
BSD | 44 | 巴哈馬元 | BSD | 2
NIO | 558 | 尼加拉瓜金科多巴 | NIO | 2
RUB | 643 | 俄羅斯盧布 | RUB | 2
MGF | 450 | 馬達加斯加法郎 | MGF | 0
SOS | 706 | 索馬利亞先令 | SOS | 2
